group,rank,team,matches_played,wins,draws,losses,goals_scored,goals_against,goal_difference,points
Group A,1,Netherlands,3,2,1,0,5,1,4,7
Group A,2,Senegal,3,2,0,1,5,4,1,6
Group A,3,Ecuador,3,1,1,1,4,3,1,4
Group A,4,Qatar,3,0,0,3,1,7,-6,0
Group B,1,England,3,2,1,0,9,2,7,7
Group B,2,United States,3,1,2,0,2,1,1,5
Group B,3,IR Iran,3,1,0,2,4,7,-3,3
Group B,4,Wales,3,0,1,2,1,6,-5,1
Group C,1,Argentina,3,2,0,1,5,2,3,6
Group C,2,Poland,3,1,1,1,2,2,0,4
Group C,3,Mexico,3,1,1,1,2,3,-1,4
Group C,4,Saudi Arabia,3,1,0,2,3,5,-2,3
Group D,1,France,3,2,0,1,6,3,3,6
Group D,2,Australia,3,2,0,1,3,4,-1,6
Group D,3,Tunisia,3,1,1,1,1,1,0,4
Group D,4,Denmark,3,0,1,2,1,3,-2,1
Group E,1,Japan,3,2,0,1,4,3,1,6
Group E,2,Spain,3,1,1,1,9,3,6,4
Group E,3,Germany,3,1,1,1,6,5,1,4
Group E,4,Costa Rica,3,1,0,2,3,11,-8,3
Group F,1,Morocco,3,2,1,0,4,1,3,7
Group F,2,Croatia,3,1,2,0,4,1,3,5
Group F,3,Belgium,3,1,1,1,1,2,-1,4
Group F,4,Canada,3,0,0,3,2,7,-5,0
Group G,1,Brazil,3,2,0,1,3,1,2,6
Group G,2,Switzerland,3,2,0,1,4,3,1,6
Group G,3,Cameroon,3,1,1,1,4,4,0,4
Group G,4,Serbia,3,0,1,2,5,8,-3,1
Group H,1,Portugal,3,2,0,1,6,4,2,6
Group H,2,Korea Republic,3,1,1,1,4,4,0,4
Group H,3,Uruguay,3,1,1,1,2,2,0,4
Group H,4,Ghana,3,1,0,2,5,7,-2,3
