team,goals,offsides,yellow cards,red cards,corners,free kicks,passes,passes completed,total attempts,on target attempts,conceded
Qatar,1,7,7,0,9,58,1333,1128,21,6,7
England,13,5,1,0,25,74,3052,2723,60,27,4
Senegal,5,8,7,0,22,63,1556,1276,51,14,7
United states,3,5,5,0,22,46,2033,1777,46,15,4
Argentina,15,23,16,0,39,123,4375,3841,104,48,8
Denmark,1,5,5,0,21,28,1781,1563,35,9,3
Mexico,2,13,7,0,16,55,1253,1045,42,15,3
France,16,16,8,0,38,98,3656,3192,101,35,8
Morocco,6,19,9,1,12,102,2690,2219,61,17,5
Germany,6,12,3,0,25,39,1899,1685,67,24,5
Spain,9,11,2,0,21,65,3819,3527,51,16,3
Belgium,1,3,5,0,17,43,1779,1568,34,11,2
Switzerland,5,6,9,0,20,57,1900,1613,36,11,9
Uruguay,2,3,8,0,8,43,1364,1126,32,10,2
Portugal,12,13,6,0,28,74,2977,2615,62,25,6
Brazil,8,8,6,0,37,85,3009,2696,90,41,3
Wales,1,4,5,1,6,37,1242,995,24,7,6
Netherlands,10,7,12,1,19,67,2804,2442,40,16,4
Tunisia,1,7,5,0,21,33,1216,964,29,8,1
Poland,3,1,7,0,11,54,1412,1129,31,7,5
Japan,5,9,6,0,19,45,1593,1298,42,13,4
Croatia,8,11,8,0,30,106,4272,3724,81,28,7
Cameroon,4,2,8,1,12,46,1159,934,27,14,4
Korea republic,5,7,6,0,24,41,1866,1607,49,18,8
Ecuador,4,8,3,0,11,47,1337,1107,27,12,3
Iran,4,6,7,0,8,32,982,735,35,11,7
Australia,4,1,7,0,8,48,1536,1206,25,9,6
Saudi arabia,3,3,14,0,8,56,1124,881,29,9,5
Canada,2,8,8,0,12,42,1498,1288,35,6,7
Costa rica,3,13,6,0,1,45,1022,810,12,7,11
Ghana,5,4,8,0,13,41,1173,963,25,10,7
Serbia,5,4,12,0,9,30,1392,1164,31,10,8
